CodigoCompletoIBGE,CodigoCidadeIBGE,NomeCidade,CodEstadoIBGE
1100015,00015,Alta Floresta D'Oeste,11
1100379,00379,Alto Alegre dos Parecis,11
1100403,00403,Alto Paraaso,11
1100346,00346,Alvorada D'Oeste,11
1100023,00023,Ariquemes,11
1100452,00452,Buritis,11
1100031,00031,Cabixi,11
1100601,00601,Cacaulandia,11
1100049,00049,Cacoal,11
1100700,00700,Campo Novo de Rondania,11
1100809,00809,Candeias do Jamari,11
1100908,00908,Castanheiras,11
1100056,00056,Cerejeiras,11
1100924,00924,Chupinguaia,11
1100064,00064,Colorado do Oeste,11
1100072,00072,Corumbiara,11
1100080,00080,Costa Marques,11
1100940,00940,Cujubim,11
1100098,00098,Espigao D'Oeste,11
1101005,01005,Governador Jorge Teixeira,11
1100106,00106,Guajara-Mirim,11
1101104,01104,Itapua do Oeste,11
1100114,00114,Jaru,11
1100122,00122,Ji-Parana,11
1100130,00130,Machadinho D'Oeste,11
1101203,01203,Ministro Andreazza,11
1101302,01302,Mirante da Serra,11
1101401,01401,Monte Negro,11
1100148,00148,Nova Brasilandia D'Oeste,11
1100338,00338,Nova Mamora,11
1101435,01435,Nova Uniao,11
1100502,00502,Novo Horizonte do Oeste,11
1100155,00155,Ouro Preto do Oeste,11
1101450,01450,Parecis,11
1100189,00189,Pimenta Bueno,11
1101468,01468,Pimenteiras do Oeste,11
1100205,00205,Porto Velho,11
1100254,00254,Presidente Madici,11
1101476,01476,Primavera de Rondania,11
1100262,00262,Rio Crespo,11
1100288,00288,Rolim de Moura,11
1100296,00296,Santa Luzia D'Oeste,11
1101484,01484,Sao Felipe D'Oeste,11
1101492,01492,Sao Francisco do Guapora,11
1100320,00320,Sao Miguel do Guapora,11
1101500,01500,Seringueiras,11
1101559,01559,Teixeirapolis,11
1101609,01609,Theobroma,11
1101708,01708,Urupa,11
1101757,01757,Vale do Anari,11
1101807,01807,Vale do Paraaso,11
1100304,00304,Vilhena,11
1200013,00013,Acrelandia,12
1200054,00054,Assis Brasil,12
1200104,00104,Brasilaia,12
1200138,00138,Bujari,12
1200179,00179,Capixaba,12
1200203,00203,Cruzeiro do Sul,12
1200252,00252,Epitaciolandia,12
1200302,00302,Feija,12
1200328,00328,Jordao,12
1200336,00336,Mancio Lima,12
1200344,00344,Manoel Urbano,12
1200351,00351,Marechal Thaumaturgo,12
1200385,00385,Placido de Castro,12
1200807,00807,Porto Acre,12
1200393,00393,Porto Walter,12
1200401,00401,Rio Branco,12
1200427,00427,Rodrigues Alves,12
1200435,00435,Santa Rosa do Purus,12
1200500,00500,Sena Madureira,12
1200450,00450,Senador Guiomard,12
1200609,00609,Tarauaca,12
1200708,00708,Xapuri,12
